,Unnamed: 0,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des,x_call,y_call,comp_call,acc
281,633,633,8,top,68,3,Aledmys Diaz,R,90.7,fb-cutter,-0.52,2.48,3.53,1.78,Called Strike,Strike,Strike,Called Strike,1
284,636,636,8,top,69,1,George Springer,R,91.2,fb-cutter,-0.76,2.65,3.65,1.75,Called Strike,Strike,Strike,Called Strike,1
285,637,637,8,top,69,2,George Springer,R,80.4,slider,-0.36,1.18,3.59,1.66,Ball,Strike,Low,Ball,1
286,638,638,8,top,69,3,George Springer,R,88.6,fb-cutter,-0.97,1.8,3.56,1.6,Ball,Out,Strike,Ball,1
289,641,641,8,bottom,70,1,Brett Gardner,L,87.0,sinker,-2.05,1.35,3.11,1.39,Ball,Out,Low,Ball,1
290,642,642,8,bottom,70,2,Brett Gardner,L,80.3,slider,0.33,2.77,3.03,1.33,Called Strike,Strike,Strike,Called Strike,1
291,643,643,8,bottom,70,3,Brett Gardner,L,80.0,slider,0.08,1.88,3.08,1.48,Called Strike,Strike,Strike,Called Strike,1
292,644,644,8,bottom,70,4,Brett Gardner,L,90.3,4-seam fb,1.38,2.94,2.99,1.36,Ball,In,Strike,Ball,1
296,648,648,8,bottom,71,1,Gary Sanchez,R,90.2,4-seam fb,-0.86,2.53,3.44,1.69,Ball,Out,Strike,Ball,1
297,649,649,8,bottom,71,2,Gary Sanchez,R,90.1,4-seam fb,-1.11,2.88,3.41,1.6,Ball,Out,Strike,Ball,1
298,650,650,8,bottom,71,3,Gary Sanchez,R,80.7,slider,0.17,1.79,3.41,1.66,Called Strike,Strike,Strike,Called Strike,1
300,652,652,8,bottom,71,5,Gary Sanchez,R,87.8,4-seam fb,-1.54,1.99,3.38,1.63,Ball,Out,Strike,Ball,1
301,653,653,8,bottom,71,6,Gary Sanchez,R,80.4,slider,-0.62,1.78,3.44,1.63,Called Strike,Strike,Strike,Called Strike,1
302,654,654,8,bottom,72,1,Gio Urshela,R,79.3,slider,0.52,2.91,3.56,1.73,Ball,Strike,Strike,Called Strike,0
304,656,656,8,bottom,73,1,Didi Gregorius,L,97.6,4-seam fb,-0.74,3.8,3.35,1.6,Ball,Strike,High,Ball,1
305,657,657,8,bottom,73,2,Didi Gregorius,L,97.3,4-seam fb,-0.38,2.17,3.29,1.63,Called Strike,Strike,Strike,Called Strike,1
308,660,660,9,top,74,1,Jose Altuve,R,86.2,curveball,0.05,0.91,2.91,1.31,Ball,Strike,Low,Ball,1
310,662,662,9,top,75,1,Michael Brantley,L,97.8,4-seam fb,-1.41,4.13,3.35,1.45,Ball,Out,High,Ball,1
311,663,663,9,top,75,2,Michael Brantley,L,91.3,changeup,-0.12,1.1,3.41,1.52,Ball,Strike,Low,Ball,1
312,664,664,9,top,75,3,Michael Brantley,L,98.0,2-seam fb,0.05,1.67,3.32,1.39,Called Strike,Strike,Strike,Called Strike,1
315,667,667,9,top,75,6,Michael Brantley,L,85.6,curveball,-0.16,0.35,3.29,1.33,Ball,Strike,Low,Ball,1
317,669,669,9,top,76,1,Alex Bregman,R,98.3,2-seam fb,-0.32,2.28,3.35,1.54,Called Strike,Strike,Strike,Called Strike,1
320,672,672,9,top,76,4,Alex Bregman,R,98.9,4-seam fb,1.1,1.43,3.26,1.54,Ball,In,Low,Ball,1
321,673,673,9,top,76,5,Alex Bregman,R,98.8,4-seam fb,0.03,3.87,3.38,1.63,Ball,Strike,High,Ball,1
324,676,676,9,top,76,8,Alex Bregman,R,97.6,2-seam fb,-1.54,3.75,3.41,1.69,Ball,Out,High,Ball,1
325,677,677,9,top,76,9,Alex Bregman,R,97.7,4-seam fb,-0.99,4.07,3.41,1.63,Ball,Out,High,Ball,1
328,680,680,9,top,77,3,Yuli Gurriel,R,98.2,4-seam fb,-0.77,4.62,3.38,1.55,Ball,Strike,High,Ball,1
330,682,682,9,top,78,1,Yordan Alvarez,L,79.6,slider,-1.28,1.31,3.35,1.57,Ball,Out,Low,Ball,1
331,683,683,9,top,78,2,Yordan Alvarez,L,79.1,slider,-0.83,2.94,3.32,1.48,Ball,Strike,Strike,Called Strike,0
333,685,685,9,top,78,4,Yordan Alvarez,L,89.1,sinker,-0.89,1.49,3.38,1.54,Ball,Out,Low,Ball,1
334,686,686,9,top,78,5,Yordan Alvarez,L,88.8,sinker,-0.8,2.06,3.44,1.66,Called Strike,Strike,Strike,Called Strike,1
336,688,688,9,top,79,1,Carlos Correa,R,80.7,slider,0.59,1.85,3.65,1.75,Called Strike,Strike,Strike,Called Strike,1
338,690,690,9,top,79,3,Carlos Correa,R,90.1,4-seam fb,-0.62,3.19,3.71,1.72,Called Strike,Strike,Strike,Called Strike,1
339,691,691,9,bottom,80,1,DJ LeMahieu,R,97.3,4-seam fb,0.18,2.83,3.41,1.69,Called Strike,Strike,Strike,Called Strike,1
342,694,694,9,bottom,82,1,Aaron Hicks,L,97.0,4-seam fb,-0.08,3.01,3.53,1.6,Called Strike,Strike,Strike,Called Strike,1
343,695,695,9,bottom,82,2,Aaron Hicks,L,89.5,slider,0.23,4.17,3.5,1.63,Ball,Strike,High,Ball,1
345,697,697,9,bottom,82,4,Aaron Hicks,L,86.4,changeup,0.49,1.4,3.41,1.57,Ball,Strike,Low,Ball,1
348,700,700,9,bottom,82,7,Aaron Hicks,L,89.7,slider,1.29,0.94,3.5,1.57,Ball,In,Low,Ball,1
349,701,701,9,bottom,82,8,Aaron Hicks,L,97.4,4-seam fb,0.63,4.06,3.44,1.52,Ball,Strike,High,Ball,1
